Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,Crisis,MSSubClass,OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,X3SsnPorch,PoolArea,MoSold,YrSold,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,SalePrice,Reforma
11,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,5,1,0,1,0,3,1,5,0,1,0,0,2,2008,70.0,11200.0,1965.0,1965,0.0,906.0,0.0,134.0,1040.0,1040.0,0.0,0.0,1040.0,1965.0,384.0,0.0,0.0,0.0,0.0,0.0,129500,43
12,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,,,,New,Partial,No,60,9,5,1,0,3,0,4,1,11,2,3,0,0,7,2006,85.0,11924.0,2005.0,2006,286.0,998.0,0.0,177.0,1175.0,1182.0,1142.0,0.0,2324.0,2005.0,736.0,147.0,21.0,0.0,0.0,0.0,345000,0
13,RL,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,6,1,0,1,0,2,1,4,0,1,0,0,9,2008,,12968.0,1962.0,1962,0.0,737.0,0.0,175.0,912.0,912.0,0.0,0.0,912.0,1962.0,352.0,140.0,0.0,0.0,,0.0,144000,46
14,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,New,Partial,No,20,7,5,0,0,2,0,3,1,7,1,3,0,0,8,2007,91.0,10652.0,2006.0,2007,306.0,0.0,0.0,1494.0,1494.0,1494.0,0.0,0.0,1494.0,2006.0,840.0,160.0,33.0,0.0,0.0,0.0,279500,0
15,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,,GdWo,,WD,Normal,Si,20,6,5,1,0,1,1,2,1,5,1,1,0,0,5,2008,,10920.0,1960.0,1960,212.0,733.0,0.0,520.0,1253.0,1253.0,0.0,0.0,1253.0,1960.0,352.0,0.0,,,0.0,0.0,157000,48
16,RM,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,,Detchd,Unf,TA,TA,Y,,GdPrv,,WD,Normal,No,45,7,8,0,0,1,0,2,1,5,0,2,0,0,7,2007,51.0,6120.0,1929.0,2001,0.0,0.0,0.0,832.0,832.0,854.0,0.0,0.0,854.0,1991.0,576.0,48.0,112.0,0.0,0.0,0.0,132000,6
17,RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,,,Shed,WD,Normal,Si,20,6,7,1,0,1,0,2,1,5,1,2,0,0,3,2010,,11241.0,1970.0,1970,180.0,578.0,0.0,426.0,1004.0,1004.0,0.0,0.0,1004.0,1970.0,480.0,0.0,0.0,0.0,0.0,,149000,40
18,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,Slab,,,,,,GasA,TA,Y,SBrkr,TA,Typ,,CarPort,Unf,TA,TA,Y,,,Shed,WD,Normal,No,90,4,5,0,0,2,0,2,2,6,0,2,0,0,10,2006,72.0,10791.0,1967.0,1967,0.0,0.0,0.0,0.0,,1296.0,0.0,0.0,1296.0,1967.0,516.0,0.0,0.0,0.0,0.0,,90000,39
19,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,5,1,0,1,1,3,1,6,0,2,0,0,6,2008,66.0,13695.0,2004.0,2004,0.0,646.0,0.0,468.0,1114.0,1114.0,0.0,0.0,1114.0,2004.0,576.0,0.0,102.0,0.0,0.0,0.0,159000,4
20,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,,Attchd,Unf,TA,TA,Y,,MnPrv,,COD,Abnorml,Si,20,5,6,0,0,1,0,3,1,6,0,1,0,0,5,2009,70.0,7560.0,1958.0,1965,0.0,504.0,0.0,525.0,1029.0,1339.0,0.0,0.0,1339.0,1958.0,294.0,0.0,0.0,0.0,0.0,0.0,139000,44
21,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,,,,New,Partial,No,60,8,5,0,0,3,1,4,1,9,1,3,0,0,11,2006,101.0,14215.0,2005.0,2006,380.0,0.0,0.0,1158.0,1158.0,1158.0,1218.0,0.0,2376.0,2005.0,853.0,240.0,154.0,0.0,0.0,0.0,325300,0
22,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,,GdPrv,,WD,Normal,No,45,7,7,0,0,1,0,3,1,6,1,1,0,0,6,2007,57.0,7449.0,1930.0,1950,0.0,0.0,0.0,637.0,637.0,1108.0,0.0,0.0,1108.0,1930.0,280.0,0.0,0.0,,0.0,0.0,139400,57
23,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,8,5,0,0,2,0,3,1,7,1,2,0,0,9,2008,75.0,9742.0,2002.0,2002,281.0,0.0,0.0,,1777.0,1795.0,0.0,0.0,1795.0,2002.0,534.0,171.0,159.0,0.0,0.0,0.0,230000,6
24,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,No,120,5,7,1,0,1,0,3,1,6,1,2,0,0,6,2007,44.0,4224.0,1976.0,1976,0.0,840.0,0.0,200.0,1040.0,1060.0,0.0,0.0,1060.0,1976.0,572.0,100.0,110.0,0.0,0.0,0.0,129900,31
25,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,,MnPrv,,WD,Normal,Si,20,5,8,1,0,1,0,3,1,6,1,1,0,0,5,2010,,8246.0,1968.0,2001,0.0,188.0,,204.0,1060.0,1060.0,0.0,0.0,1060.0,1968.0,270.0,406.0,90.0,0.0,0.0,0.0,154000,9
26,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,8,5,0,0,2,0,3,1,7,1,3,0,0,7,2009,110.0,14230.0,2007.0,2007,,0.0,0.0,1566.0,1566.0,1600.0,0.0,0.0,1600.0,2007.0,890.0,0.0,56.0,0.0,0.0,0.0,256300,2
27,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,7,0,1,1,0,3,1,5,0,2,0,0,5,2010,60.0,7200.0,1951.0,2000,0.0,234.0,,180.0,900.0,900.0,0.0,0.0,900.0,2005.0,576.0,222.0,32.0,0.0,0.0,0.0,134800,10
28,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,8,5,1,0,2,0,3,1,7,1,3,0,0,5,2010,98.0,11478.0,2007.0,2008,200.0,1218.0,0.0,486.0,1704.0,1704.0,0.0,0.0,1704.0,2008.0,772.0,0.0,50.0,0.0,0.0,0.0,306000,2
29,RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,No,20,5,6,1,0,1,0,2,1,6,2,1,0,0,12,2006,47.0,16321.0,1957.0,1997,0.0,1277.0,0.0,207.0,1484.0,1600.0,0.0,0.0,1600.0,1957.0,319.0,288.0,,0.0,0.0,0.0,207500,9
30,RM,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,,Detchd,Unf,Fa,TA,Y,,,,WD,Normal,Si,30,4,6,0,0,1,0,1,1,4,0,1,0,0,5,2008,60.0,6324.0,1927.0,1950,0.0,0.0,0.0,520.0,520.0,520.0,0.0,0.0,520.0,1920.0,240.0,49.0,0.0,,0.0,0.0,68500,58
31,C,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,,Detchd,Unf,TA,Fa,N,,MnPrv,,WD,Normal,Si,70,4,4,0,0,1,0,3,1,6,0,1,0,0,7,2008,50.0,8500.0,1920.0,1950,0.0,0.0,0.0,649.0,649.0,649.0,668.0,0.0,1317.0,1920.0,250.0,0.0,54.0,,0.0,0.0,40000,58
32,RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,,Attchd,Unf,TA,TA,Y,,MnPrv,,WD,Normal,Si,20,5,6,0,0,1,1,3,1,6,0,1,0,0,6,2008,,8544.0,1966.0,2006,0.0,0.0,0.0,1228.0,1228.0,1228.0,0.0,0.0,1228.0,1966.0,271.0,0.0,65.0,0.0,0.0,0.0,149350,2
33,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,8,5,0,0,2,0,3,1,7,0,2,0,0,1,2008,85.0,11049.0,2007.0,2007,0.0,0.0,0.0,1234.0,1234.0,1234.0,0.0,0.0,1234.0,2007.0,484.0,0.0,30.0,0.0,0.0,0.0,179900,1
34,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,5,5,0,1,1,1,4,1,6,1,2,0,0,4,2010,70.0,10552.0,1959.0,1959,0.0,1018.0,0.0,380.0,1398.0,1700.0,0.0,0.0,1700.0,1959.0,447.0,0.0,38.0,0.0,0.0,0.0,165500,51
35,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,,,,WD,Normal,No,120,9,5,1,0,2,0,2,1,6,1,2,0,0,8,2007,60.0,7313.0,2005.0,2005,246.0,1153.0,0.0,408.0,1561.0,1561.0,0.0,0.0,1561.0,2005.0,556.0,203.0,47.0,0.0,0.0,0.0,277500,2
36,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,,,,WD,Normal,No,60,8,5,0,0,3,1,4,1,9,1,3,0,0,9,2006,108.0,13418.0,2004.0,2005,132.0,0.0,0.0,1117.0,1117.0,1132.0,1320.0,0.0,2452.0,2004.0,691.0,113.0,32.0,0.0,0.0,0.0,309000,1
37,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Attchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,5,0,0,1,1,3,1,6,0,2,0,0,6,2009,,10859.0,1994.0,1995,0.0,0.0,0.0,1097.0,1097.0,1097.0,0.0,0.0,1097.0,1995.0,672.0,392.0,64.0,0.0,0.0,0.0,145000,14
38,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,20,5,6,0,1,1,0,3,1,5,1,2,0,0,10,2009,74.0,8532.0,1954.0,1990,,1213.0,0.0,84.0,1297.0,1297.0,0.0,0.0,1297.0,1954.0,498.0,0.0,0.0,0.0,0.0,0.0,153000,19
39,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Abnorml,Si,20,5,7,1,0,1,0,3,1,5,0,1,0,0,1,2010,68.0,7922.0,1953.0,2007,0.0,731.0,0.0,326.0,1057.0,1057.0,0.0,0.0,1057.0,1953.0,246.0,0.0,52.0,0.0,0.0,0.0,109000,3
40,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,,TA,TA,PConc,,,,,,GasA,TA,N,FuseP,Fa,Typ,,,,,,N,,,,WD,AdjLand,Si,90,4,5,0,0,2,0,2,2,6,0,0,0,0,6,2008,65.0,6040.0,1955.0,1955,0.0,0.0,0.0,0.0,,1152.0,0.0,0.0,1152.0,,0.0,0.0,0.0,0.0,0.0,0.0,82000,53
41,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,,GdWo,,WD,Abnorml,No,20,6,5,0,0,2,0,3,1,6,1,2,0,0,12,2006,84.0,8658.0,1965.0,1965,101.0,643.0,0.0,445.0,1088.0,1324.0,0.0,0.0,1324.0,1965.0,440.0,0.0,138.0,0.0,0.0,0.0,160000,41
42,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,P,,,,WD,Normal,No,20,5,6,0,1,1,1,2,1,5,2,1,0,0,7,2007,,16905.0,1959.0,1959,0.0,967.0,0.0,383.0,1350.0,1328.0,0.0,0.0,1328.0,1959.0,308.0,0.0,104.0,0.0,0.0,0.0,170000,48
43,RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,,Attchd,RFn,TA,Gd,Y,,MnPrv,,WD,Normal,No,85,5,7,1,0,1,0,2,1,5,0,2,0,0,12,2007,,9180.0,1983.0,1983,0.0,747.0,,0.0,840.0,884.0,0.0,0.0,884.0,1983.0,504.0,240.0,0.0,0.0,0.0,0.0,144000,24
44,RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,MnPrv,,WD,Normal,Si,20,5,6,1,0,1,0,3,1,5,0,1,0,0,7,2008,,9200.0,1975.0,1980,0.0,280.0,,167.0,938.0,938.0,0.0,0.0,938.0,1977.0,308.0,145.0,0.0,0.0,0.0,0.0,130250,28
